iter	MultiClass
0	2.369233842
1	1.951931624
2	1.665166127
3	1.427752547
4	1.258328802
5	1.127376626
6	1.011211257
7	0.917731129
8	0.8402403398
9	0.7651643926
10	0.7077321833
11	0.6530319214
12	0.6027299361
13	0.5600478432
14	0.52107322
15	0.4852292841
16	0.4550143155
17	0.4280880668
18	0.4043513211
19	0.3792771079
20	0.359430001
21	0.3389443831
22	0.3222579262
23	0.3054433302
24	0.2903192867
25	0.276192301
26	0.2631291996
27	0.2512197495
28	0.240242698
29	0.2303040591
30	0.2193553578
31	0.2096928163
32	0.2009813829
33	0.1929681431
34	0.1857582266
35	0.1792308807
36	0.1721930417
37	0.1658480904
38	0.1607553135
39	0.1548356143
40	0.1497615121
41	0.1439986316
42	0.1399158825
43	0.1353248336
44	0.1313961029
45	0.1279087674
46	0.123747973
47	0.1203532566
48	0.1176877542
49	0.1138987455
50	0.1107386502
51	0.1079204906
52	0.1057416742
53	0.1029402299
54	0.1012246392
55	0.09872928966
56	0.0967122338
57	0.09422766946
58	0.09230301597
59	0.09007629915
60	0.08843874498
61	0.08616352948
62	0.08434160406
63	0.08231528022
64	0.08053998947
65	0.07896509171
66	0.0777030598
67	0.07598792856
68	0.07447999607
69	0.07323254672
70	0.07194255482
71	0.07049031258
72	0.06928200288
