iter	Passed	Remaining
0	11	862
1	22	800
2	31	739
3	42	738
4	53	724
5	85	949
6	96	908
7	107	870
8	117	835
9	128	808
10	140	793
11	150	765
12	159	737
13	169	712
14	177	687
15	188	671
16	197	649
17	206	630
18	216	614
19	225	598
20	236	586
21	245	569
22	256	556
23	265	542
24	276	530
25	288	521
26	296	505
27	306	492
28	316	480
29	326	467
30	334	453
31	344	441
32	355	431
33	366	420
34	375	407
35	386	397
36	395	384
37	405	373
38	416	363
39	425	350
40	435	339
41	443	327
42	453	316
43	463	305
44	473	294
45	483	283
46	494	273
47	505	263
48	515	252
49	524	241
50	534	230
51	543	219
52	555	209
53	564	198
54	600	196
55	614	186
56	623	174
57	632	163
58	641	152
59	652	141
60	663	130
61	676	120
62	686	108
63	696	97
64	705	86
65	717	76
66	727	65
67	736	54
68	746	43
69	755	32
70	770	21
71	781	10
72	790	0
